billing_class,billing_code, billing_code_type, billing_code_modifier
"professional","88150","CPT","['27']"
"professional","L3956","HCPCS","['NU']"
"professional","24079","CPT","['U1']"
"professional","83663","CPT","[]"
"professional","76641","CPT","['TC']"
"professional","94060","CPT","['TC']"
"professional","86171","CPT","[]"
"professional","87290","CPT","['26']"
"professional","25685","CPT","['U1']"
"professional","62290","CPT","['U1']"
"professional","97016","CPT","['U1']"
"institutional","TRI","CSTM-ALL","[]"
"professional","66185","CPT","[]"
"professional","A4225","HCPCS","[]"
"professional","85046","CPT","['26']"
"professional","65222","CPT","['U1']"
"institutional","38100","CPT","[]"
"institutional","62331","CPT","[]"
"professional","82375","CPT","['TC']"
"professional","L6635","HCPCS","[]"
"institutional","62325","CPT","[]"
"professional","72158","CPT","['26']"
"institutional","35211","CPT","[]"
"institutional","55810","CPT","[]"
"professional","64590","CPT","['U1']"
"institutional","35500","CPT","[]"
"professional","25135","CPT","[]"
"professional","29280","CPT","[]"
"professional","74185","CPT","['U1']"
"professional","L3900","HCPCS","[]"
"professional","J0698","HCPCS","[]"
"professional","J7355","HCPCS","[]"
"professional","L8042","HCPCS","['RR']"
"institutional","G0260","HCPCS","[]"
"institutional","27005","CPT","[]"
"institutional","0143","RC","[]"
"professional","21407","CPT","[]"
"institutional","27700","CPT","[]"
"professional","81380","CPT","[]"
"institutional","2W31X3Z","ICD","[]"
"professional","K0195","HCPCS","['KI']"
"professional","64466","CPT","[]"
"professional","E0140","HCPCS","['KH']"
"professional","0102U","CPT","[]"
"professional","90837","CPT","['95']"
"professional","50360","CPT","['U1']"
"professional","L2550","HCPCS","['NU']"
"institutional","28315","CPT","[]"
"professional","24164","CPT","[]"
"professional","E2395","HCPCS","['UE','KE']"
"professional","Q0167","HCPCS","[]"
"institutional","0332","RC","[]"
"professional","L8688","HCPCS","[]"
"professional","75891","CPT","['TC']"
"professional","76499","CPT","[]"
"professional","A4410","HCPCS","[]"
"professional","86805","CPT","['U1']"
"professional","46999","CPT","[]"
"professional","61105","CPT","[]"
"professional","L6000","HCPCS","[]"
"professional","64617","CPT","[]"
"professional","43211","CPT","['U1']"
"professional","28805","CPT","['U1']"
"professional","96902","CPT","['TC']"
"professional","E1298","HCPCS","['RR']"
"institutional","DW26JZZ","ICD","[]"
"professional","46910","CPT","['U1']"
"professional","92508","CPT","['GT']"
"professional","67225","CPT","['U1']"
"professional","50365","CPT","[]"
"professional","88130","CPT","['U1']"
"professional","L1951","HCPCS","['NU']"
"institutional","0D1A0JA","ICD","[]"
"professional","28160","CPT","['U1']"
"professional","E0621","HCPCS","['NU']"
"professional","82607","CPT","['27']"
"professional","86300","CPT","[]"
"professional","E0957","HCPCS","['NU','UE','KE']"
"professional","70390","CPT","['TC']"
"professional","71130","CPT","['U1']"
"professional","23395","CPT","[]"
"professional","86160","CPT","['U1']"
"professional","84525","CPT","['26']"
"institutional","37238","CPT","[]"
"institutional","37501","CPT","[]"
"professional","A4750","HCPCS","['NU']"
"professional","72146","CPT","['TC']"
"professional","26130","CPT","['U1']"
"professional","21182","CPT","['U1']"
"professional","80372","CPT","['TC']"
"professional","S9485","HCPCS","['U1','HA','ET']"
"professional","34845","CPT","[]"
"professional","21198","CPT","[]"
"institutional","DME","CSTM-ALL","[]"
"professional","81513","CPT","[]"
"professional","56515","CPT","['U1']"
