billing_class,billing_code,billing_code_type,billing_code_modifier,verdict,rule,reason
professional,J1748,HCPCS,[],ALLOW,ok,
professional,83885,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,K0044,HCPCS,"['RR','NU','KE']",ALLOW,ok,
institutional,20924,CPT,[],ALLOW,ok,
professional,95921,CPT,['U1'],ALLOW,ok,
professional,46020,CPT,['U1'],ALLOW,ok,
professional,27335,CPT,[],ALLOW,ok,
professional,E2382,HCPCS,['UE'],ALLOW,ok,
professional,33266,CPT,[],ALLOW,ok,
professional,43659,CPT,[],ALLOW,ok,
professional,L4205,HCPCS,['NU'],ALLOW,ok,
institutional,20930,CPT,[],ALLOW,ok,
professional,E0154,HCPCS,['UE'],ALLOW,ok,
professional,43244,CPT,['U1'],ALLOW,ok,
professional,E0431,HCPCS,['RR'],ALLOW,ok,
professional,26115,CPT,[],ALLOW,ok,
professional,E2103,HCPCS,[],ALLOW,ok,
professional,31785,CPT,[],ALLOW,ok,
professional,46945,CPT,['U1'],ALLOW,ok,
professional,95044,CPT,['U1'],ALLOW,ok,
professional,38520,CPT,['U1'],ALLOW,ok,
professional,J1710,HCPCS,[],ALLOW,ok,
institutional,0BJL8ZZ,ICD,[],ALLOW,ok,
professional,L1904,HCPCS,['NU'],ALLOW,ok,
professional,82270,CPT,['26'],ALLOW,ok,
professional,29823,CPT,[],ALLOW,ok,
professional,88165,CPT,['U1'],ALLOW,ok,
professional,E1088,HCPCS,['NU'],ALLOW,ok,
professional,L8692,HCPCS,[],ALLOW,ok,
professional,63278,CPT,[],ALLOW,ok,
professional,82652,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,61570,CPT,['U1'],ALLOW,ok,
professional,69220,CPT,['U1'],ALLOW,ok,
professional,78451,CPT,[],ALLOW,ok,
professional,69210,CPT,[],ALLOW,ok,
